name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of Standard Dargwa	Корпус литературного даргинского	Standard Dargwa	Литературный даргинский	https://lingconlab.ru/standard_dargwa/	corpus	корпус	minority	малых языков	NA	NA	42.4257	47.4388	Nuclear North Dargwa	6382427	tsacorpus	
Spoken corpus of Abaza	Устный корпус абазинского языка	Abaza	Абазинский	https://lingconlab.ru/spoken_abaza/	corpus	корпус	minority	малых языков	Inzhich-Chukun	Инжич-Чукун	44.04614598	41.7812629	Abaza	3636	tsacorpus	
Spoken corpus of Bashkir	Устный корпус башкирского языка	Bashkir	Башкирский	https://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Baimovo	Баимово	53.72758163	58.84260186	Bashkir	28202	tsacorpus	
Spoken corpus of Bashkir	Устный корпус башкирского языка	Bashkir	Башкирский	https://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Rakhmetovo	Рахметово	53.82462214	58.88647481	Bashkir	28202	tsacorpus	
Spoken corpus of Botlikh	Устный корпус ботлихского языка	Botlikh	Ботлихский	https://lingconlab.ru/botlikh/	corpus	корпус	minority	малых языков	Botlikh	Ботлих	42.665	46.22	Botlikh	1603	tsacorpus	
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	Khakas	Хакасский	https://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Butrachty	Бутрахты	52.81184385	89.98742813	Khakas	57633	tsacorpus	
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	Khakas	Хакасский	https://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Kazanovka	Казановка	53.21588574	90.04742874	Khakas	57633	tsacorpus	
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	Khakas	Хакасский	https://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Karagay	Карагай	52.84550829	90.10717158	Khakas	57633	tsacorpus	
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	Khakas	Хакасский	https://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Chylany	Чиланы	52.81394105	90.04211831	Khakas	57633	tsacorpus	
Spoken corpus of Maloye Karachkino Chuvash	Устный корпус малокарачкинского говора чувашского языка 	Maloye Karachkino Chuvash	Малокарачкинского говор чувашского	https://lingconlab.ru/chuvash/	corpus	корпус	minority	малых языков	Maloye Karachkino	Малое Карачкино	56.08806	46.45806	Chuvash	6405	tsacorpus	ignore
Spoken corpus of Meadow Mari	Устный корпус лугового марийского языка	Meadow Mari	Луговой марийский	https://lingconlab.ru/spoken_meadow_mari/	corpus	корпус	minority	малых языков	Staryj Torjal	Старый Торъял	56.95781881	48.78028179	Eastern Mari	11647	tsacorpus	
